match_id,date,queue_id,game_mode,game_type,patch,role,champion,win,kills,deaths,assists,team_kills,team_deaths,team_assists,cs,cs_per_min,vision_score,vision_score_per_min,wards_placed,wards_killed,control_wards_bought,gold_earned,total_damage_to_champions,game_duration_seconds,game_duration_min
JP1_567132238,2026-02-23 16:40:38,420,CLASSIC,MATCHED_GAME,16.4.748.682,UTILITY,Morgana,False,2,9,11,31,45,42,57,1.58,79,2.19,31,10,6,10113,18579,2168,36.13
JP1_567113669,2026-02-23 15:10:31,400,CLASSIC,MATCHED_GAME,16.4.748.682,UTILITY,Nami,True,1,5,18,35,25,40,31,1.03,72,2.38,31,1,3,9346,6199,1812,30.2
JP1_567105103,2026-02-23 14:33:47,400,CLASSIC,MATCHED_GAME,16.4.748.682,UTILITY,Morgana,False,2,8,2,8,28,6,40,1.22,79,2.41,26,7,5,8300,17901,1966,32.77
JP1_567087882,2026-02-23 13:40:54,400,CLASSIC,MATCHED_GAME,16.4.748.682,UTILITY,Morgana,False,6,13,13,33,43,47,108,2.31,107,2.28,43,5,4,15482,34876,2811,46.85
JP1_567076263,2026-02-23 12:58:56,400,CLASSIC,MATCHED_GAME,16.4.748.682,TOP,Malphite,False,1,8,2,23,32,20,144,4.12,42,1.2,17,2,4,9156,11837,2096,34.93
JP1_567036820,2026-02-23 10:21:48,400,CLASSIC,MATCHED_GAME,16.4.748.682,UTILITY,Janna,False,0,3,2,12,22,8,41,1.19,58,1.69,24,8,5,7491,2737,2059,34.32
JP1_567011863,2026-02-23 08:17:13,420,CLASSIC,MATCHED_GAME,16.4.748.682,UTILITY,Janna,True,0,2,10,23,7,27,45,1.66,63,2.32,28,5,4,7955,3152,1628,27.13
JP1_566926199,2026-02-22 19:22:01,400,CLASSIC,MATCHED_GAME,16.4.748.682,MIDDLE,Galio,False,0,1,2,4,24,7,178,6.49,23,0.84,13,1,2,7396,7089,1646,27.43
JP1_566920086,2026-02-22 18:23:51,400,CLASSIC,MATCHED_GAME,16.4.748.682,MIDDLE,Galio,False,8,7,27,57,50,125,249,5.05,53,1.08,26,3,9,17272,39553,2956,49.27
JP1_566915730,2026-02-22 17:58:18,400,CLASSIC,MATCHED_GAME,16.4.748.682,MIDDLE,Lissandra,False,0,2,0,2,19,0,98,5.6,16,0.91,8,0,4,4292,4829,1050,17.5
JP1_566911312,2026-02-22 17:29:21,400,CLASSIC,MATCHED_GAME,16.4.748.682,MIDDLE,Lissandra,False,1,6,1,12,39,19,126,4.98,16,0.63,8,0,4,6316,12325,1519,25.32
JP1_566905385,2026-02-22 16:59:09,400,CLASSIC,MATCHED_GAME,16.4.748.682,MIDDLE,Lissandra,True,1,6,3,27,21,18,92,3.99,23,1.0,11,1,3,6176,9918,1385,23.08
JP1_566899555,2026-02-22 16:32:08,400,CLASSIC,MATCHED_GAME,16.4.748.682,UTILITY,Braum,False,2,7,1,8,27,6,38,1.71,39,1.75,17,3,4,5650,3811,1335,22.25
JP1_566455920,2026-02-20 18:34:36,400,CLASSIC,MATCHED_GAME,16.4.746.5697,MIDDLE,Ahri,False,0,4,0,11,27,12,157,5.7,20,0.73,8,1,3,6869,5915,1653,27.55
JP1_566451333,2026-02-20 17:57:13,400,CLASSIC,MATCHED_GAME,16.4.746.5697,MIDDLE,Ahri,True,5,2,5,48,14,40,158,5.47,40,1.39,14,1,4,10598,10738,1732,28.87
JP1_566443929,2026-02-20 17:19:01,400,CLASSIC,MATCHED_GAME,16.4.746.5697,MIDDLE,Lissandra,False,1,9,7,13,31,24,122,3.77,28,0.87,13,0,3,8791,15308,1940,32.33
JP1_566437391,2026-02-20 16:41:10,400,CLASSIC,MATCHED_GAME,16.4.746.5697,MIDDLE,Galio,False,2,7,3,13,26,18,143,4.88,20,0.68,9,2,3,8112,12144,1757,29.28
JP1_566426768,2026-02-20 15:57:47,400,CLASSIC,MATCHED_GAME,16.4.746.5697,MIDDLE,Galio,True,3,7,14,37,24,64,198,4.98,65,1.63,16,11,2,12189,22623,2386,39.77
JP1_566422294,2026-02-20 15:39:52,400,CLASSIC,MATCHED_GAME,16.4.746.5697,MIDDLE,Galio,True,0,1,2,6,4,9,73,5.29,4,0.29,4,0,2,3550,2816,828,13.8
JP1_566240791,2026-02-19 16:21:13,420,CLASSIC,MATCHED_GAME,16.4.746.5697,UTILITY,Braum,False,3,4,8,29,21,42,36,1.17,52,1.69,25,3,5,7927,3986,1848,30.8
JP1_566231483,2026-02-19 15:33:10,420,CLASSIC,MATCHED_GAME,16.4.746.5697,UTILITY,Janna,False,2,11,3,14,34,11,31,0.82,79,2.09,32,5,6,9075,4165,2264,37.73
JP1_565857122,2026-02-17 15:37:38,420,CLASSIC,MATCHED_GAME,16.3.745.7600,UTILITY,Leona,False,2,10,5,15,37,16,25,0.98,54,2.11,20,8,3,7573,8146,1532,25.53
JP1_565846622,2026-02-17 14:58:39,420,CLASSIC,MATCHED_GAME,16.3.745.7600,UTILITY,Braum,False,1,13,15,28,45,44,31,0.93,63,1.88,27,3,3,8728,8400,2009,33.48
JP1_565500563,2026-02-15 17:24:16,400,CLASSIC,MATCHED_GAME,16.3.745.7600,MIDDLE,Galio,False,1,8,9,21,46,23,204,5.4,39,1.03,11,2,3,10407,16785,2266,37.77
JP1_565494732,2026-02-15 16:47:19,400,CLASSIC,MATCHED_GAME,16.3.745.7600,MIDDLE,Galio,True,3,0,10,28,16,31,168,5.85,37,1.29,13,1,3,10727,16411,1724,28.73
JP1_565486188,2026-02-15 15:56:43,400,CLASSIC,MATCHED_GAME,16.3.745.7600,MIDDLE,Galio,False,3,7,12,33,40,63,203,4.57,47,1.06,16,0,6,12430,24923,2664,44.4
JP1_565478949,2026-02-15 15:26:20,400,CLASSIC,MATCHED_GAME,16.3.745.7600,MIDDLE,Galio,False,2,4,2,13,26,17,168,6.48,30,1.16,13,3,4,8262,14009,1556,25.93
JP1_565469793,2026-02-15 14:48:44,400,CLASSIC,MATCHED_GAME,16.3.745.7600,MIDDLE,Galio,True,2,3,10,40,15,51,177,5.26,42,1.25,16,2,3,9552,9023,2018,33.63
JP1_565278528,2026-02-14 19:17:17,400,CLASSIC,MATCHED_GAME,16.3.745.7600,MIDDLE,Galio,False,0,5,5,13,29,15,200,6.81,28,0.95,11,1,2,8648,10262,1763,29.38
JP1_565274830,2026-02-14 18:53:01,400,CLASSIC,MATCHED_GAME,16.3.745.7600,UTILITY,Janna,False,0,5,2,8,27,5,33,1.62,41,2.02,16,2,4,4758,1471,1219,20.32
JP1_565268387,2026-02-14 17:59:46,400,CLASSIC,MATCHED_GAME,16.3.745.7600,MIDDLE,Galio,False,5,8,20,38,44,72,165,3.64,55,1.21,18,2,2,12504,22863,2717,45.28
JP1_565262355,2026-02-14 17:26:42,400,CLASSIC,MATCHED_GAME,16.3.745.7600,MIDDLE,Galio,True,5,6,14,29,23,53,121,4.33,25,0.9,12,2,2,9896,13943,1675,27.92
JP1_565255810,2026-02-14 17:00:09,400,CLASSIC,MATCHED_GAME,16.3.745.7600,MIDDLE,Galio,True,6,1,8,21,3,26,95,4.39,23,1.06,10,0,2,7173,9658,1299,21.65
JP1_565251699,2026-02-14 16:39:16,400,CLASSIC,MATCHED_GAME,16.3.745.7600,MIDDLE,Galio,True,1,0,3,14,0,15,82,5.31,18,1.17,8,1,2,4439,5121,926,15.43
JP1_565241192,2026-02-14 15:56:51,400,CLASSIC,MATCHED_GAME,16.3.745.7600,MIDDLE,Galio,True,4,8,25,43,30,101,154,4.22,44,1.21,16,0,2,11342,23687,2188,36.47
JP1_565220687,2026-02-14 14:52:26,420,CLASSIC,MATCHED_GAME,16.3.745.7600,UTILITY,Braum,True,1,4,16,31,14,52,31,0.73,96,2.27,48,6,6,11700,8989,2541,42.35
JP1_565208717,2026-02-14 14:14:55,420,CLASSIC,MATCHED_GAME,16.3.745.7600,UTILITY,Morgana,False,1,7,4,17,26,19,68,2.07,72,2.19,30,6,2,8173,6813,1973,32.88
JP1_565038384,2026-02-13 19:19:58,400,CLASSIC,MATCHED_GAME,16.3.745.7600,UTILITY,Seraphine,False,2,8,13,28,45,28,27,0.78,60,1.74,28,2,6,9632,16602,2066,34.43
JP1_565034397,2026-02-13 18:37:53,400,CLASSIC,MATCHED_GAME,16.3.745.7600,UTILITY,Braum,True,1,6,26,34,32,64,37,1.0,58,1.57,30,2,7,11445,10514,2213,36.88
JP1_565029333,2026-02-13 18:03:31,400,CLASSIC,MATCHED_GAME,16.3.745.7600,MIDDLE,Ahri,False,1,5,2,13,27,13,134,4.74,37,1.31,15,1,5,7144,9801,1696,28.27
JP1_565019511,2026-02-13 17:08:36,400,CLASSIC,MATCHED_GAME,16.3.745.7600,MIDDLE,Ahri,False,7,4,5,26,24,43,231,5.54,66,1.58,24,5,5,13614,18630,2503,41.72
JP1_564603868,2026-02-11 15:20:03,400,CLASSIC,MATCHED_GAME,16.3.745.7600,UTILITY,Braum,True,4,4,5,24,17,42,47,1.56,76,2.53,30,7,5,8062,5179,1803,30.05
JP1_564388546,2026-02-10 18:05:03,400,CLASSIC,MATCHED_GAME,16.3.744.7656,MIDDLE,Galio,True,2,4,6,23,22,25,155,5.38,27,0.94,12,2,3,8398,13244,1728,28.8
JP1_564380129,2026-02-10 17:14:02,400,CLASSIC,MATCHED_GAME,16.3.744.7656,UTILITY,Janna,False,0,11,9,16,38,35,32,1.11,37,1.28,21,0,4,6833,6155,1728,28.8
JP1_564369314,2026-02-10 16:33:21,400,CLASSIC,MATCHED_GAME,16.3.744.7656,MIDDLE,Galio,False,4,5,6,29,23,35,178,5.26,52,1.54,14,1,4,10816,15995,2032,33.87
JP1_564362225,2026-02-10 16:01:41,400,CLASSIC,MATCHED_GAME,16.3.744.7656,MIDDLE,Galio,False,0,5,0,1,26,1,95,4.18,26,1.14,10,0,4,5434,8362,1363,22.72
JP1_564162784,2026-02-09 16:49:32,400,CLASSIC,MATCHED_GAME,16.3.744.7656,UTILITY,Janna,False,1,9,9,24,45,23,31,1.08,37,1.29,19,2,3,7258,6712,1725,28.75
JP1_564162368,2026-02-09 16:42:29,400,CLASSIC,MATCHED_GAME,16.3.744.7656,MIDDLE,Galio,False,0,0,0,0,1,0,4,1.95,0,0.0,1,0,1,693,27,123,2.05
JP1_564134689,2026-02-09 14:44:10,420,CLASSIC,MATCHED_GAME,16.3.744.7656,UTILITY,Janna,True,1,2,19,33,11,47,25,0.94,55,2.07,23,4,5,7858,6676,1596,26.6
